hw2dataset_10.txt
1,45.9502228294
2,44.9676499348
3,44.9686984181
4,44.9687560172
hw2dataset_30.txt
1,61.6409517733
2,60.5211055364
3,60.4906763238
4,60.4824370282
5,60.4800409546
6,60.4792902128
hw2dataset_50.txt
1,79.5880139681
2,78.3139721865
3,78.1976459726
4,78.1468528287
5,78.1244523563
6,78.1145665222
7,78.1102365753
8,78.1083758156
9,78.1076067163
hw2dataset_70.txt
1,98.8072987045
2,97.7405146683
3,97.7041724299
4,97.6846331311
5,97.6742528911
6,97.6688132866
7,97.6660127995
8,97.6646070702
9,97.6639287506
hw2dataset_100.txt
1,120.007068915
2,119.102268233
3,119.171856911
4,119.221898495
5,119.257459044
6,119.282515599
7,119.300065202
8,119.312305218
9,119.320816927
10,119.326723834
11,119.330817236
12,119.333651102
13,119.335611647
14,119.336967361
15,119.33790453
